url,uri,name,tracks,category
https://open.spotify.com/playlist/37i9dQZF1DX1lVhptIYRda,spotify:playlist:37i9dQZF1DX1lVhptIYRda,Hot Country,50,country
https://open.spotify.com/playlist/37i9dQZF1DWW7RgkOJG32Y,spotify:playlist:37i9dQZF1DWW7RgkOJG32Y,Breakout Country,80,country
https://open.spotify.com/playlist/37i9dQZF1DWUgBy0IJPlHq,spotify:playlist:37i9dQZF1DWUgBy0IJPlHq,Indigo,100,country
https://open.spotify.com/playlist/37i9dQZF1DX0bUGQdz5BJG,spotify:playlist:37i9dQZF1DX0bUGQdz5BJG,Next From Nashville,122,country
https://open.spotify.com/playlist/37i9dQZF1DWTkxQvqMy4WW,spotify:playlist:37i9dQZF1DWTkxQvqMy4WW,Chillin' on a Dirt Road,80,country
https://open.spotify.com/playlist/37i9dQZF1DWVpjAJGB70vU,spotify:playlist:37i9dQZF1DWVpjAJGB70vU,90's Country,60,country
https://open.spotify.com/playlist/37i9dQZF1DXdxUH6sNtcDe,spotify:playlist:37i9dQZF1DXdxUH6sNtcDe,2000s Country,153,country
https://open.spotify.com/playlist/37i9dQZF1DXbIbVYph0Zr5,spotify:playlist:37i9dQZF1DXbIbVYph0Zr5,Country Cookout,93,country
https://open.spotify.com/playlist/37i9dQZF1DWXdiK4WAVRUW,spotify:playlist:37i9dQZF1DWXdiK4WAVRUW,2010s Country,179,country
https://open.spotify.com/playlist/37i9dQZF1DXcSzYlwgjiSi,spotify:playlist:37i9dQZF1DXcSzYlwgjiSi,Party Cove,83,country
https://open.spotify.com/playlist/37i9dQZF1DWYnwbYQ5HnZU,spotify:playlist:37i9dQZF1DWYnwbYQ5HnZU,Country Gold,64,country
https://open.spotify.com/playlist/37i9dQZF1DX7aUUBCKwo4Y,spotify:playlist:37i9dQZF1DX7aUUBCKwo4Y,Nashville's Worldwide Hot 50,50,country
https://open.spotify.com/playlist/37i9dQZF1DXaJXCbmtHVHV,spotify:playlist:37i9dQZF1DXaJXCbmtHVHV,Big Country,50,country
https://open.spotify.com/playlist/37i9dQZF1DX8S0uQvJ4gaa,spotify:playlist:37i9dQZF1DX8S0uQvJ4gaa,New Boots,80,country
https://open.spotify.com/playlist/37i9dQZF1DX8WMG8VPSOJC,spotify:playlist:37i9dQZF1DX8WMG8VPSOJC,Country Kind of Love,75,country
https://open.spotify.com/playlist/37i9dQZF1DX6rVyqO2FaN8,spotify:playlist:37i9dQZF1DX6rVyqO2FaN8,Still Hot,58,country
